net,length_um
_1107_,45.04µm
_0566_,44.92µm
_0768_,44.76µm
_1555_,44.7µm
_2353_,44.58µm
_2164_,44.28µm
_2349_,44.24µm
_0962_,44.04µm
_2120_,43.92µm
net122,43.88µm
_1088_,43.78µm
_0705_,43.66µm
_1562_,43.605µm
net298,43.6µm
net53,43.46µm
_2107_,43.34µm
in2_reg\[14\],43.2µm
_0221_,43.19µm
_2208_,43.04µm
net120,42.98µm
_0297_,42.94µm
_2479_,42.9µm
_2098_,42.885µm
_1661_,42.88µm
_2142_,42.82µm
_2132_,42.8µm
_0635_,42.76µm
_2483_,42.52µm
_2032_,42.46µm
_0416_,42.1µm
_0349_,42.04µm
_1244_,41.88µm
net87,41.83µm
_1638_,41.78µm
_0121_,41.72µm
_1378_,41.7µm
_1142_,41.68µm
_2470_,41.67µm
_2428_,41.52µm
_1032_,41.44µm
_1776_,41.37µm
_0702_,41.36µm
_0571_,41.12µm
_1946_,41.08µm
_1317_,41.04µm
_1193_,41µm
_0469_,40.97µm
_1044_,40.88µm
_0497_,40.61µm
_0278_,40.4µm
_0213_,40.39µm
_0072_,40.21µm
_1643_,40.2µm
_1903_,40µm
_1341_,39.98µm
_0250_,39.84µm
_0334_,39.84µm
_2047_,39.83µm
_2268_,39.825µm
_1915_,39.78µm
_0249_,39.76µm
_0309_,39.68µm
_1784_,39.515µm
_0436_,39.51µm
_0707_,39.4µm
net116,39.32µm
_1985_,39.31µm
_2114_,39.28µm
_2147_,39.28µm
_0472_,39.14µm
_0184_,39.04µm
_0731_,39.02µm
_0411_,38.96µm
_1542_,38.88µm
_1116_,38.78µm
_0457_,38.66µm
_0503_,38.46µm
_0147_,38.44µm
_1796_,38.44µm
_0170_,38.35µm
_2196_,38.04µm
_0655_,38µm
_0073_,37.8µm
_1789_,37.8µm
_0383_,37.46µm
_1117_,37.38µm
_0117_,37.32µm
_0993_,37.22µm
_1620_,37.03µm
_0420_,36.96µm
_1647_,36.9µm
_0723_,36.86µm
_0808_,36.86µm
_1085_,36.85µm
_1096_,36.78µm
_2185_,36.7µm
_0709_,36.69µm
_1769_,36.6µm
_0366_,36.56µm
_1483_,36.56µm
_1087_,36.54µm
_0290_,36.5µm
_0485_,36.5µm
_1432_,36.43µm
_0201_,36.42µm
_1875_,36.3µm
_1098_,36.02µm
_1307_,36µm
_2284_,35.94µm
_0617_,35.865µm
_1025_,35.86µm
_2186_,35.86µm
_2008_,35.725µm
