net,length_um
_0326_,16.38µm
_0212_,16.36µm
_0391_,16.36µm
_0831_,16.36µm
_0085_,16.34µm
_0549_,16.28µm
net67,16.255µm
_0013_,16.22µm
net205,16.22µm
_0014_,16.2µm
_0798_,16.08µm
net118,16µm
_0226_,15.88µm
net255,15.84µm
_0066_,15.82µm
_0301_,15.78µm
net34,15.775µm
_0665_,15.74µm
_0716_,15.74µm
_0906_,15.74µm
_0158_,15.72µm
_0482_,15.72µm
_0483_,15.7µm
_0165_,15.68µm
_0177_,15.68µm
_0451_,15.64µm
net23,15.64µm
net198,15.64µm
_0199_,15.62µm
_0244_,15.62µm
_0639_,15.54µm
_0529_,15.48µm
_0541_,15.46µm
_0893_,15.42µm
_0437_,15.38µm
_0294_,15.34µm
in3[52],15.32µm
_0764_,15.3µm
in3[31],15.27µm
_0672_,15.16µm
_0624_,15.14µm
_0631_,15.14µm
_0923_,15.14µm
net48,15.14µm
in3[9],15.08µm
_0415_,15µm
_0290_,14.98µm
_0723_,14.94µm
net145,14.92µm
_0760_,14.9µm
in2[13],14.9µm
_0635_,14.88µm
net124,14.88µm
_0116_,14.86µm
net252,14.86µm
_0744_,14.8µm
_0945_,14.8µm
_0417_,14.76µm
_0480_,14.7µm
in1[14],14.7µm
_0356_,14.68µm
_0754_,14.64µm
_0896_,14.64µm
_0192_,14.62µm
net49,14.62µm
_0697_,14.6µm
_0659_,14.59µm
in2[59],14.58µm
_0086_,14.56µm
_0522_,14.54µm
_0658_,14.54µm
_0117_,14.5µm
_0081_,14.485µm
_0843_,14.46µm
in2[15],14.44µm
_0725_,14.38µm
net254,14.34µm
_0224_,14.32µm
_0068_,14.28µm
_0848_,14.265µm
_0471_,14.22µm
net18,14.22µm
in2[10],14.16µm
_0621_,14.08µm
_0905_,14.06µm
in3[4],13.99µm
in3[10],13.98µm
_0025_,13.94µm
_0221_,13.94µm
in2[14],13.94µm
in3[14],13.94µm
net160,13.88µm
net186,13.88µm
in3[33],13.81µm
_0012_,13.765µm
_0645_,13.76µm
_0868_,13.76µm
_0875_,13.76µm
_0322_,13.72µm
_0289_,13.68µm
_0501_,13.68µm
_0820_,13.68µm
_0591_,13.66µm
_0595_,13.6µm
_0932_,13.56µm
_0410_,13.54µm
_0423_,13.54µm
_0925_,13.54µm
in3[54],13.54µm
_0296_,13.52µm
_0084_,13.5µm
_0833_,13.485µm
_0434_,13.48µm
net31,13.48µm
_0228_,13.46µm
_0002_,13.44µm
_0457_,13.42µm
_0204_,13.38µm
_0315_,13.38µm
_0608_,13.38µm
net3,13.38µm
net133,13.38µm
_0090_,13.34µm
_0114_,13.32µm
net162,13.32µm
_0511_,13.3µm
_0676_,13.3µm
net187,13.26µm
_0762_,13.24µm
_0532_,13.18µm
in1[63],13.18µm
net229,13.1µm
_0400_,13.08µm
_0642_,13.08µm
_0198_,13.04µm
net121,13.04µm
_0528_,13µm
_0841_,13µm
net44,13µm
_0948_,12.96µm
_0557_,12.92µm
_0565_,12.84µm
_0292_,12.8µm
in2[54],12.74µm
_0381_,12.68µm
net4,12.68µm
in1[43],12.66µm
_0730_,12.64µm
_0834_,12.64µm
net135,12.64µm
_0506_,12.62µm
_0669_,12.62µm
_0201_,12.6µm
_0854_,12.6µm
_0398_,12.58µm
net184,12.575µm
_0484_,12.54µm
net123,12.54µm
net227,12.48µm
_0069_,12.46µm
_0408_,12.46µm
_0028_,12.445µm
_0355_,12.42µm
_0269_,12.38µm
_0308_,12.38µm
_0044_,12.375µm
_0517_,12.34µm
net68,12.26µm
in2[4],12.19µm
out[17],12.18µm
_0807_,12.16µm
_0686_,12.13µm
in3[39],12.13µm
_0021_,12.125µm
_0080_,12.12µm
_0512_,12.12µm
_0816_,12.12µm
_0962_,12.06µm
_0574_,12.04µm
in2[30],12.03µm
_0805_,12.02µm
_0455_,12µm
_0554_,12µm
_0666_,12µm
_0721_,11.98µm
_0284_,11.97µm
_0729_,11.96µm
_0772_,11.96µm
_0819_,11.96µm
in1[1],11.95µm
_0594_,11.94µm
_0749_,11.915µm
_0564_,11.9µm
_0405_,11.88µm
_0812_,11.88µm
net146,11.84µm
_0131_,11.83µm
_0542_,11.82µm
_0778_,11.82µm
in2[60],11.81µm
_0110_,11.8µm
_0598_,11.8µm
_0852_,11.8µm
in2[12],11.78µm
_0351_,11.72µm
_0447_,11.72µm
